Name,Text
MURPH,"MURPH
CrossFit Hero WOD
For Time
1 mile Run
100 Pull-Ups
200 Push-Ups
300 Air Squats
1 mile Run

All with a Weight Vest (20/14 lb)"
DT,"DT
CrossFit Hero WOD
5 Rounds For Time
12 Deadlifts (155/105 lb)
9 Hang Power Cleans (155/105 lb)
6 Push Jerks (155/105 lb)"
CINDY,"CINDY
CrossFit Benchmark ""Girl"" WOD
AMRAP in 20 minutes
5 Pull-Ups
10 Push-Ups
15 Air Squats"
BEAR COMPLEX,"BEAR COMPLEX
CrossFit Benchmark WOD
5 Rounds For Load
Complete 7 Unbroken Sets of this Barbell complex:
1 Power Clean
1 Front Squat
1 Push Press
1 Back Squat
1 Push Press"
FRAN,"FRAN
CrossFit ""Girl"" Benchmark WOD
21-15-9 Reps For Time
Thrusters (95/65 lb)
Pull-Ups"
FIGHT GONE BAD,"FIGHT GONE BAD
CrossFit Benchmark WOD
3 Rounds For Total Reps in 17 minutes
1 minute Wall Ball Shots (20/14 lb)
1 minute Sumo Deadlift High-Pulls (75/55 lb)
1 minute Box Jumps (20 in)
1 minute Push Press (75/55 lb)
1 minute Row (calories)
1 minute Rest"
ZACHARY TELLIER,"ZACHARY TELLIER
CrossFit DC Hero WOD
For Time
10 Burpees

10 Burpees
25 Push-Ups

10 Burpees
25 Push-Ups
50 Lunges

10 Burpees
25 Push-Ups
50 Lunges
100 Sit-Ups

10 Burpees
25 Push-Ups
50 Lunges
100 Sit-Ups
150 Air Squats"
LOREDO,"LOREDO
CrossFit Hero WOD
6 Rounds For Time
24 Air Squats
24 Push-Ups
24 Walking Lunges
400 meter Run"
GRACE,"GRACE
CrossFit ""Girl"" Benchmark WOD
For Time
30 Clean-and-Jerks (135/95 lb)"
DEL,"DEL
CrossFit Hero WOD
For Time
25 Burpees
400 meter Run (20/14 lb Medicine Ball)
25 Weighted Pull-Ups (20/15 lb Dumbbell)
400 meter Run (20/14 lb Medicine Ball)
25 Handstand Push-Ups
400 meter Run (20/14 lb Medicine Ball)
25 Chest-to-Bar Pull-Ups
400 meter Run (20/14 lb medicine ball)
25 Burpees"
THE SEVEN,"THE SEVEN
CrossFit Hero WOD (aka: ""The CIA Seven"")
7 Rounds For Time
7 Handstand Push-Ups
7 Thrusters (135/95 lb)
7 Knees-to-Elbows
7 Deadlifts (245/165 lb)
7 Burpees
7 Kettlebell Swings (2/1.5 pood)
7 Pull-Ups"
JACKIE,"JACKIE
CrossFit ""Girl"" Benchmark WOD
For Time
1,000 meter Row
50 Thrusters (45/35 lb bar)
30 Pull-Ups"
LINDA,"LINDA
CrossFit ""Girl"" Benchmark WOD (aka: ""3 Bars of Death"")
10-9-8-7-6-5-4-3-2-1 Reps, For Time
Deadlift (1½ bodyweight)
Bench Press (bodyweight)
Clean (¾ bodyweight)"
ANNIE,"ANNIE
CrossFit ""Girl"" Benchmark WOD
50-40-30-20-10 Reps For Time
Double-Unders
Sit-Ups"
FAT AMY,"FAT AMY
Benchmark WOD
For Time
50 Air Squats
10 Burpees
40 Sit-Ups
10 Burpees
30 Lunges (alternating legs)
10 Burpees
20 Kettlebell Swings (1.5/1 pood)
10 Burpees
10 meter Bear Crawl
10 Burpees
20 Kettlebell Swings (1.5/1 pood)
10 Burpees
30 Lunges (alternating legs)
10 Burpees
40 Sit-Ups
10 Burpees
50 Air Squats"
FILTHY FIFTY,"FILTHY FIFTY
CrossFit Benchmark WOD
For Time
50 Box Jumps (24/20 in)
50 Jumping Pull-Ups
50 Kettlebell Swings (1/.75 pood)
50 Walking Lunge Steps
50 Knees-to-Elbows
50 Push Presses (45/35 lb)
50 Back Extensions
50 Wall Ball Shots (20/14 lb)
50 Burpees
50 Double-Unders"
HELEN,"HELEN
CrossFit Benchmark WOD
3 Rounds For Time
400 meter Run
21 Kettlebell Swings (1.5/1 pood)
12 Pull-Ups"
KALSU,"KALSU
by John Welbourn
For Time
100 Thrusters (135/95 lb)

5 Burpees to start and at the top of every minute"
THE CHIEF,"THE CHIEF
CrossFit Benchmark/Tribute WOD
Five 3-minute AMRAPs in 19 minutes

AMRAP in 3 minutes
3 Power Cleans (135/95 lbs)
6 Push-Ups
9 Air Squats

Then Rest 1 minute

Repeat 5 times"
NANCY,"NANCY
CrossFit ""Girl"" Benchmark WOD
5 Rounds For Time
400 meter Run
15 Overhead Squats (95/65 lb)"
ANGIE,"ANGIE
CrossFit ""Girl"" Benchmark WOD
For Time
100 Pull-Ups
100 Push-Ups
100 Sit-Ups
100 Air Squats"
DIANE,"DIANE
CrossFit ""Girl"" Benchmark WOD
21-15-9 Reps For Time
Deadlifts (225/155 lb)
Handstand Push-Ups"
ACID BATH,"ACID BATH
2018 Dubai Fitness Championship Finals WOD #6 (aka: ""DXB Finals 18.6"")
For Time
500 meter Ski Erg
500 meter Row
1,000 meter Bike Erg

Time Cap: 6/7 minutes"
ISABEL,"ISABEL
CrossFit ""Girl"" Benchmark WOD
For Time
30 Snatches (135/95 lb)"
KAREN,"KAREN
CrossFit ""Girl"" Benchmark WOD
For Time
150 Wall Ball Shots (20/14 lb, 10/9 ft)"
BUFFALO 10,"BUFFALO 10
Absolute Performance Memorial WOD
10 Rounds (with a Partner) for Time:
5 Deadlifts (225/155 lb)
14 Push-Ups
22 Double-Unders
400 meter Run (together)

Partners switch after each exercise. Rep counts are per partner, not shared."
BERT,"BERT
CrossFit Hero WOD
For Time
50 Burpees
400 meter Run
100 Push-Ups
400 meter Run
150 Walking Lunges
400 meter Run
200 Air Squats
400 meter Run
150 Walking Lunges
400 meter Run
100 Push-Ups
400 meter Run
50 Burpees"
MANION,"MANION
CrossFit Hero WOD
7 Rounds For Time
400 meter Run
29 Back Squats (135/95 lb)"
HOLLEYMAN,"HOLLEYMAN
CrossFit Hero WOD
30 Rounds For Time
5 Wall Ball Shots (20/14 lb)
3 Handstand Push-Ups
1 Power Clean (225/155 lb)"
CHELSEA,"CHELSEA
CrossFit ""Girl"" Benchmark WOD
EMOM for 30 minutes
5 Pull-Ups
10 Push-Ups
15 Air Squats"
CHRISTINE,"CHRISTINE
CrossFit North Benchmark WOD
3 Rounds for Time
500 meter Row
12 Deadlifts (Bodyweight)
21 Box Jumps (24/20 in)"
GRETTEL,"GRETTEL
CrossFit ""Girl"" Benchmark WOD
10 Rounds for Time
3 Clean-and-Jerks (135/95 lb)
3 Bar Over Burpees"
KING KONG,"KING KONG
CrossFit Benchmark WOD
3 Rounds For Time
1 Deadlift (455/320 lb)
2 Muscle-Ups
3 Squat Cleans (250/175 lb)
4 Handstand Push Ups"
KELLY,"KELLY
CrossFit ""Girl"" Benchmark WOD
5 Rounds For Time
400 meter Run
30 Box Jumps (24/20 in)
30 Wall Ball Shots (20/14 lb)"
OPEN 22.2,"OPEN 22.2
2022 CrossFit Open Workout #2
For Time
1-2-3-4-5-6-7-8-9-10-9-8-7-6-5-4-3-2-1 Reps of:
Deadlifts (225/155 lb)
Bar-Facing Burpees

Time Cap: 10 minutes"
